"Platform Client ID","Account Name","Created Date","Account Owner","CS Insight: CS Insights Name","CS Insight: Record Type","Feedback directed to"
"CL003328","Atomi","7/19/2022","Automated Essentials","CSI-0002117","Client Feedback","Product"
"CL004682","Just do Coding","11/6/2023","Automated Essentials","CSI-0002119","Client Feedback","Product"
"CL004886","Shoplanders","2/14/2024","Automated Essentials","CSI-0002121","Client Feedback","Product"
"CL002920","Alternativas Inteligentes S.A.","6/1/2022","Automated Essentials","CSI-0002123","Client Feedback","Product"
"CL004932","man.ax","3/8/2024","Automated Essentials","CSI-0002125","Client Feedback","Product"
"CL005224","Original Partners Global LLC","9/3/2024","Karoll Cabrera","CSI-0002129","Client Feedback","Product"
"CL002086","Factored","11/25/2021","Automated Essentials","CSI-0002133","Client Feedback","Product"
"CL005348","Integra IT","3/11/2024","Automated Essentials","CSI-0002135","Client Feedback","Product"
"CL005056","Azkait","2/18/2022","Karoll Cabrera","CSI-0002137","Client Feedback","Product"
"CL005345","StickerYou","10/15/2024","Joaquin Rocchietti","CSI-0002139","Client Feedback","Product"
"CL005112","Apollo Restorations","6/12/2024","Karoll Cabrera","CSI-0002140","Client Feedback","Product"
"CL002624","Dynamo Global","10/5/2021","Alejandra Arroyo","CSI-0002144","Client Feedback","Product"
"CL003811","CognosOnLine México-","11/11/2022","Giuliana Fontes","CSI-0002148","Client Feedback","Product"
"CL004849","BrandLive","3/7/2022","Laura Del Gordo","CSI-0002353","Client Feedback","Financial Services"
"CL002382","ZASZA Accounting","3/22/2022","Automated Essentials","CSI-0002359","Client Feedback","Product"
"CL004719","Opcion Yo","2/1/2022","Samuel Jimenez","CSI-0002366","Client Feedback","Product"
"CL005055","Seidor Colombia","2/8/2022","Automated Essentials","CSI-0002368","Client Feedback","Financial Services"
"CL004543","Agence Consultoria","7/7/2023","Automated Essentials","CSI-0002372","Client Feedback","Product"
"CL002791","Longevo","2/17/2022","Joaquin Rocchietti","CSI-0002374","Client Feedback","Product"
"CL005445","handandstone.com","2/4/2025","Automated Essentials","CSI-0002381","Client Feedback","Product"
"CL005452","LOTO","2/12/2025","Alejandra Arroyo","CSI-0002382","Client Feedback","Product"
"CL005418","ZURU Latam","5/20/2022","Automated Essentials","CSI-0002383","Client Feedback","Customer Success"
"CL005459","ArtCap","2/12/2025","Automated Essentials","CSI-0002387","Client Feedback","Customer Success"
"CL004674","Protegetuviaje.com","4/5/2022","Alejandra Arroyo","CSI-0002389","Client Feedback","Financial Services"
"CL005466","coralmuajes.com","2/13/2025","Alejandra Arroyo","CSI-0002391","Client Feedback","Product"
"CL005446","darlinglaw.com","2/6/2025","Automated Essentials","CSI-0002394","Client Feedback","Product"
"CL005393","hyperproof.io","12/30/2024","Karoll Cabrera","CSI-0002395","Client Feedback","Product"
"CL005467","Íkualo","2/6/2025","Karoll Cabrera","CSI-0002396","Client Feedback","Product"
"CL004947","ADC TECH NETHERLANDS B.V.","2/16/2024","Luis Miguel Alzate Valencia","CSI-0002398","Client Feedback","Operations B2B"
"CL005431","Digital Petroleum","1/23/2025","Automated Essentials","CSI-0002400","Client Feedback","Customer Success"
"CL005394","Wireframe Technologies Ltd","1/2/2025","Automated Essentials","CSI-0002401","Client Feedback","Customer Success"
"CL005301","Yango","1/17/2023","Luis Miguel Alzate Valencia","CSI-0002402","Client Feedback","Product"
"CL004674","Protegetuviaje.com","4/5/2022","Alejandra Arroyo","CSI-0002403","Client Feedback","Product"
"CL001430","Escudero Services LLC","1/12/2022","Karoll Cabrera","CSI-0002406","Client Feedback","Product"
"CL005385","Auronix","3/31/2022","Laura Del Gordo","CSI-0002407","Client Feedback","Financial Services"
"CL004248","MARKET ONE PERU","3/28/2023","Karoll Cabrera","CSI-0002412","Client Feedback","Product"
"CL004049","Mazdi Design Innovation","6/17/2022","Karoll Cabrera","CSI-0002413","Client Feedback","Product"
"CL000666","Simplee","9/13/2021","Karoll Cabrera","CSI-0002417","Client Feedback","Sales"
"CL000900","DD3 Capital Partners","1/24/2022","Alejandra Arroyo","CSI-0002420","Client Feedback","Customer Success"
"CL004282","magnettu.com","3/31/2023","Automated Essentials","CSI-0002424","Client Feedback","Product"
"CL005211","Sing Comunicação de Resultados","8/27/2024","Giuliana Fontes","CSI-0002427","Client Feedback","Product"
"CL001735","Deepsea","1/3/2023","Automated Essentials","CSI-0002433","Client Feedback","Product"
"CL005256","intacctre.com","9/11/2024","Alejandra Arroyo","CSI-0002437","Client Feedback","Product"
"CL004635","Finaktiva SAS","2/28/2022","Automated Essentials","CSI-0002440","Client Feedback","Product"
"CL004995","Xennova","4/10/2024","Automated Essentials","CSI-0002445","Client Feedback","Product"
"CL004991","Agua Fria Corp","5/29/2024","Automated Essentials","CSI-0002447","Client Feedback","Product"
"CL002484","LEGACY SPA","4/13/2022","Automated Essentials","CSI-0002465","Client Feedback","Product"
"CL005135","Insidea.com","12/26/2023","Karoll Cabrera","CSI-0002472","Client Feedback","Operations B2B"
"CL005012","Novacomp - Frontera","2/16/2022","Joaquin Rocchietti","CSI-0002477","Client Feedback","Product"
"CL002866","Emonk","5/26/2022","Giuliana Fontes","CSI-0002480","Client Feedback","Operations B2B"
"CL002188","CrearP LLC","3/23/2022","Automated Essentials","CSI-0002483","Client Feedback","Product"
"CL002484","LEGACY SPA","4/13/2022","Automated Essentials","CSI-0002484","Client Feedback","Product"
"CL005476","burn20.com","2/18/2025","Alejandra Arroyo","CSI-0002489","Client Feedback","Tech"
"CL000016","SaludTools","10/14/2021","Giuliana Fontes","CSI-0002491","Client Feedback","Product"
"CL002475","SERVIAP USA LLC","11/10/2022","Jose Pinto","CSI-0002492","Client Feedback","Product"
"CL004938","Clara - New","1/18/2024","Joaquin Rocchietti","CSI-0002495","Client Feedback","Product"
"CL005027","Wenkol (Clara URU)","5/29/2024","Joaquin Rocchietti","CSI-0002497","Client Feedback","Product"
"CL005468","The Art Dome","2/7/2025","Karoll Cabrera","CSI-0002498","Client Feedback","Compliance"
"CL005457","limatransportes.com.co","12/24/2024","Automated Essentials","CSI-0002502","Client Feedback","Operations B2B"
"CL001851","Equality Company","9/2/2022","Automated Essentials","CSI-0002504","Client Feedback","Product"
"CL000900","DD3 Capital Partners","1/24/2022","Alejandra Arroyo","CSI-0002510","Client Feedback","Product"
"CL003588","Lamosa Porcelanite","10/14/2022","Automated Essentials","CSI-0002512","Client Feedback","Product"
"CL000519","Castor (Inversiones Mercurio)","10/15/2021","Automated Essentials","CSI-0002514","Client Feedback","Customer Success"
"CL000744","Hunty","10/22/2021","Giuliana Fontes","CSI-0002525","Client Feedback","Product"
"CL004719","Opcion Yo","2/1/2022","Samuel Jimenez","CSI-0002528","Client Feedback","Financial Services"
"CL004001","Heippi","12/22/2022","Automated Essentials","CSI-0002530","Client Feedback","Product"
"CL004598","workmate.cl","9/7/2023","Automated Essentials","CSI-0002532","Client Feedback","Product"
"CL001773","FJM INVERSIONES S.A.S.","3/2/2022","Giuliana Fontes","CSI-0002534","Client Feedback","Customer Success"
"CL005362","Simplest Guru","8/29/2024","Alejandra Arroyo","CSI-0002540","Client Feedback","Customer Success"
"CL004766","Grand Sports","1/16/2024","Jose Pinto","CSI-0002542","Client Feedback","Financial Services"
"CL005160","Audaces.com","7/19/2024","Lucas Arenas","CSI-0002546","Client Feedback","EOR"
"CL004834","Microplast Colombia","1/10/2024","Lucas Arenas","CSI-0002548","Client Feedback","Product"
"CL005051","Coldeplast","5/14/2024","Lucas Arenas","CSI-0002550","Client Feedback","EOR"
"CL002420","smartBeemo LLC","9/24/2021","Jose Pinto","CSI-0002553","Client Feedback","Financial Services"
"CL002420","smartBeemo LLC","9/24/2021","Jose Pinto","CSI-0002554","Client Feedback","Product"
"CL002970","Smartly","2/3/2022","Jose Pinto","CSI-0002556","Client Feedback","Product"
"CL002970","Smartly","2/3/2022","Jose Pinto","CSI-0002557","Client Feedback","Product"
"CL002475","SERVIAP USA LLC","11/10/2022","Jose Pinto","CSI-0002559","Client Feedback","Product"
"CL004546","Foco en Obra","7/17/2023","Karoll Cabrera","CSI-0002561","Client Feedback","Product"
"CL005477","WIND CONSULTING","2/20/2025","Joaquin Rocchietti","CSI-0002562","Client Feedback","Customer Success"
"CL004399","Colombo & Hurd","5/24/2023","Samuel Jimenez","CSI-0002566","Client Feedback","Product"
"CL003814","Cheetah Conservation Fund","10/14/2022","Giuliana Fontes","CSI-0002568","Client Feedback","Customer Success"
"CL003357","Banco del Pichincha","2/4/2022","Jose Pinto","CSI-0002569","Client Feedback","Product"
"cl004570","Rootstack","11/2/2021","Jose Pinto","CSI-0002570","Client Feedback","Customer Success"
"CL004480","Servicios de Capacitacion CognosOnline SpA","8/6/2024","Giuliana Fontes","CSI-0002589","Client Feedback","Product"
"CL004223","Colsugar S.A.S","8/12/2022","Giuliana Fontes","CSI-0002590","Client Feedback","Customer Success"
"CL000675","killb.com","10/6/2021","Giuliana Fontes","CSI-0002592","Client Feedback","Customer Success"
"CL004910","metarad.partners","2/14/2024","Karoll Cabrera","CSI-0002601","Client Feedback","Customer Success"
"CL003119","Vicer Solutions","12/26/2021","Automated Essentials","CSI-0002604","Client Feedback","Product"
"CL003438","Provectus","6/23/2022","Joaquin Rocchietti","CSI-0002607","Client Feedback","Product"
"CL003360","Orbis Data","6/22/2022","Karoll Cabrera","CSI-0002614","Client Feedback","Product"
"CL004168","AIESEC INTERNATIONAL","1/11/2023","Giuliana Fontes","CSI-0002617","Client Feedback","Product"
"CL000939","Above Zero. LLC","10/25/2021","Alejandra Arroyo","CSI-0002619","Client Feedback","Product"
"CL000010","Instaleap","10/15/2021","Jose Pinto","CSI-0002623","Client Feedback","Financial Services"
"CL000523","EDUNEXT SAS","10/13/2021","Laura Del Gordo","CSI-0002628","Client Feedback","Customer Success"
"CL003980","AdsFactory","10/24/2022","Joaquin Rocchietti","CSI-0002631","Client Feedback","Financial Services"
"CL002875","TECHO Internacional","2/4/2022","Giuliana Fontes","CSI-0002633","Client Feedback","Product"
"CL005492","swineworks.com","3/1/2025","Giuliana Fontes","CSI-0002634","Client Feedback","Tech"
"CL005482","Impacta VC","4/23/2024","Automated Essentials","CSI-0002635","Client Feedback","Compliance"
"CL005477","WIND CONSULTING","2/20/2025","Joaquin Rocchietti","CSI-0002636","Client Feedback","Product"
"CL005473","LoVirtual LLC","3/13/2025","Jose Pinto","CSI-0002638","Client Feedback","Legal"
"CL005069","KPG","1/25/2024","Karoll Cabrera","CSI-0002642","Client Feedback","Product"
"CL005463","Grupo convierte mas 2 (2 villas)","2/17/2025","Automated Essentials","CSI-0002655","Client Feedback","Product"
"CL005469","Grupo Convierte Más","3/13/2023","Automated Essentials","CSI-0002656","Client Feedback","Product"
"CL005489","Sun Colombia","10/2/2024","Automated Essentials","CSI-0002660","Client Feedback","Product"
"CL005504","LPG. Colombia","3/14/2025","Automated Essentials","CSI-0002661","Client Feedback","Compliance"
"CL005212","Chiper OS Limited","8/28/2024","Alejandra Arroyo","CSI-0002686","Client Feedback","Customer Success"
"CL005480","SVG group","2/26/2025","Automated Essentials","CSI-0002715","Client Feedback","Product"
"CL005499","Miami Tango Investments","2/28/2025","Joaquin Rocchietti","CSI-0002716","Client Feedback","Compliance"
"CL001001","The Wise Seeker","10/8/2021","Karoll Cabrera","CSI-0002741","Client Feedback","Finance"
"CL005493","Alfalfa Creative Co","3/7/2025","Karoll Cabrera","CSI-0002750","Client Feedback","Sales"
"CL000616","MortgageHippo Inc","9/22/2021","Samuel Jimenez","CSI-0002751","Client Feedback","Product"
"CL004086","AB-Inbev","7/1/2022","Lucas Arenas","CSI-0002757","Client Feedback","EOR"
"CL004710","fundo.com","5/18/2023","Lucas Arenas","CSI-0002759","Client Feedback","EOR"
"CL005030","Inversiones Centroamericanas S.A","2/16/2024","Lucas Arenas","CSI-0002761","Client Feedback","EOR"
"CL005264","TAC","3/10/2022","Lucas Arenas","CSI-0002763","Client Feedback","EOR"
"CL005010","Grupo SEGA","4/22/2022","Lucas Arenas","CSI-0002765","Client Feedback","EOR"
"CL005063","Vendwatch Telematics","5/9/2024","Lucas Arenas","CSI-0002769","Client Feedback","EOR"
"CL005507","High Ticket Consulting LLC","2/25/2025","Giuliana Fontes","CSI-0002772","Client Feedback","Product"
"CL005497","Broadview Communities","12/16/2022","Alejandra Arroyo","CSI-0002773","Client Feedback","Product"
"CL005054","Defontana","5/18/2022","Joaquin Rocchietti","CSI-0002782","Client Feedback","Customer Success"
"CL005280","Briter Bridges","10/11/2024","Lucas Arenas","CSI-0002785","Client Feedback","EOR"
"CL004618","Cardif","8/30/2023","Lucas Arenas","CSI-0002792","Client Feedback","EOR"
"CL004958","BullMetrix","10/28/2021","Karoll Cabrera","CSI-0002834","Client Feedback","Product"
"CL004944","Instaleap Europe S.L.","5/9/2024","Lucas Arenas","CSI-0002837","Client Feedback","EOR"
"CL004731","Professional Radiology PLLC","12/2/2023","Lucas Arenas","CSI-0002839","Client Feedback","EOR"
"CL004742","Icon Management","11/21/2023","Lucas Arenas","CSI-0002841","Client Feedback","EOR"
"CL004787","GenePlanet","9/6/2023","Lucas Arenas","CSI-0002845","Client Feedback","EOR"
"CL004737","Arkangel.ai","11/30/2023","Karoll Cabrera","CSI-0002846","Client Feedback","Financial Services"
"CL004283","Estrategias Diferenciadas","3/21/2024","Automated Essentials","CSI-0002848","Client Feedback","Product"
"CL002941","Telemundo Atlanta","5/23/2022","Giuliana Fontes","CSI-0002849","Client Feedback","Product"
"CL000405","Influur","10/15/2021","Samuel Jimenez","CSI-0002851","Client Feedback","Customer Success"
"CL003764","CLOUD UP SOLUTIONS","10/13/2022","Karoll Cabrera","CSI-0002856","Client Feedback","Product"
"CL005158","Novashore","7/24/2024","Joaquin Rocchietti","CSI-0002871","Client Feedback","Product"
"CL005012","Novacomp - Frontera","2/16/2022","Joaquin Rocchietti","CSI-0002873","Client Feedback","Product"
"CL004744","Lazo-","10/4/2023","Giuliana Fontes","CSI-0002876","Client Feedback","Financial Services"
"CL005463","Grupo convierte mas 2 (2 villas)","2/17/2025","Automated Essentials","CSI-0002888","Client Feedback","Product"
"CL005507","High Ticket Consulting LLC","2/25/2025","Giuliana Fontes","CSI-0002889","Client Feedback","Finance"
"CL005482","Impacta VC","4/23/2024","Automated Essentials","CSI-0002890","Client Feedback","Operations B2B"
"CL005473","LoVirtual LLC","3/13/2025","Jose Pinto","CSI-0002891","Client Feedback","Product"
"CL005282","gruposimpli.com","8/1/2024","Jose Pinto","CSI-0002893","Client Feedback","Finance"
"CL001050","Uala","8/4/2021","Jose Pinto","CSI-0002895","Client Feedback","Financial Services"
"CL004921","ACL Tecnología Chile - ACL SPA / Aplicaciones Computacionales SPA - ACL SPA","8/31/2022","Alejandra Arroyo","CSI-0002896","Client Feedback","Product"
"CL000943","BairesQA","11/15/2021","Giuliana Fontes","CSI-0002899","Client Feedback","Product"
"CL003814","Cheetah Conservation Fund","10/14/2022","Giuliana Fontes","CSI-0002924","Client Feedback","Product"
"CL002669","MOX","3/17/2022","Giuliana Fontes","CSI-0002927","Client Feedback","Product"
"CL005112","Apollo Restorations","6/12/2024","Karoll Cabrera","CSI-0002928","Client Feedback","Product"
"CL005529","calidadinsurance.com","9/12/2024","Karoll Cabrera","CSI-0002929","Client Feedback","Product"
"CL005511","epicareinsurance.com","11/28/2024","Karoll Cabrera","CSI-0002932","Client Feedback","Product"
"CL005518","wayak.io","3/27/2025","Automated Essentials","CSI-0002933","Client Feedback","Product"
"CL005400","Pronomix AI","12/26/2024","Automated Essentials","CSI-0002934","Client Feedback","Sales"
"CL005493","Alfalfa Creative Co","3/7/2025","Karoll Cabrera","CSI-0002936","Client Feedback","Sales"
"CL005481","Ese Plus","12/20/2024","Automated Essentials","CSI-0002937","Client Feedback","Tech"
"CL005196","Brocsoft","12/1/2022","Automated Essentials","CSI-0002939","Client Feedback","Product"
"CL002252","Kromin","3/8/2022","Automated Essentials","CSI-0002944","Client Feedback","Product"
"CL002875","TECHO Internacional","2/4/2022","Giuliana Fontes","CSI-0002946","Client Feedback","Product"
"CL000004","Truora","10/14/2021","Jose Pinto","CSI-0002951","Client Feedback","Financial Services"
"CL005501","sentiretaller.com","1/2/2025","Automated Essentials","CSI-0002974","Client Feedback","Operations B2B"
"CL005082","homesbyrp.com","5/21/2024","Giuliana Fontes","CSI-0002979","Client Feedback","Product"
"CL000280","PLURIA INTERNATIONAL S.A.","10/14/2021","Joaquin Rocchietti","CSI-0002981","Client Feedback","Product"
"CL005530","ARWEB","2/27/2024","Automated Essentials","CSI-0003152","Client Feedback","Product"
"CL000744","Hunty","10/22/2021","Giuliana Fontes","CSI-0003155","Client Feedback","Product"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003156","Client Feedback","Operations B2B"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003158","Client Feedback","Sales"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003159","Client Feedback","Operations B2B"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003166","Client Feedback","Compliance"
"CL004726","Truvalia Global Classifieds","11/22/2023","Lucas Arenas","CSI-0003170","Client Feedback","EOR"
"CL001966","Crack The Code 2","1/19/2022","Automated Essentials","CSI-0003172","Client Feedback","Product"
"CL005395","beverlylaw.org","12/11/2024","Karoll Cabrera","CSI-0003174","Client Feedback","Product"
"CL005357","TS4 - Tech Solutions for Strategy","10/10/2022","Giuliana Fontes","CSI-0003178","Client Feedback","Product"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003179","Client Feedback","Operations B2B"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003180","Client Feedback","Operations B2C"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003181","Client Feedback","Pay Outs"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003182","Client Feedback","Operations B2B"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003184","Client Feedback","Operations B2C"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003185","Client Feedback","Financial Services"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003186","Client Feedback","Operations B2C"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003187","Client Feedback","Operations B2C"
"CL000518","Prueba - AB","7/24/2023","Diego Espinosa","CSI-0003188","Client Feedback","Operations B2C"
"CL004708","Michael Brooks Jimenez, PC","11/21/2023","Karoll Cabrera","CSI-0003191","Client Feedback","Product"
"CL002215","ALOHAS","3/24/2022","Giuliana Fontes","CSI-0003193","Client Feedback","Pay Ins"
"CL004263","HOA Books","5/2/2022","Automated Essentials","CSI-0003196","Client Feedback","Product"
"CL004437","Habi","2/23/2022","Karoll Cabrera","CSI-0003213","Client Feedback","Product"
"CL000552","Sanarai. Inc.","10/14/2021","Giuliana Fontes","CSI-0003218","Client Feedback","Product"
"CL005230","Nala Technology Inc","9/9/2024","Giuliana Fontes","CSI-0003226","Client Feedback","Product"
"CL005002","cayadservices.com","4/11/2024","Automated Essentials","CSI-0003232","Client Feedback","Operations B2B"
"CL005539","Tenor","4/16/2025","Automated Essentials","CSI-0003239","Client Feedback","Tech"
"CL005473","LoVirtual LLC","3/13/2025","Jose Pinto","CSI-0003240","Client Feedback","Product"
"CL005544","Ember Ops","4/17/2025","Automated Essentials","CSI-0003241","Client Feedback","Product"
"CL005351","KYKUYO","11/29/2024","Giuliana Fontes","CSI-0003243","Client Feedback","Product"
"CL002344","Infuy","9/15/2021","Giuliana Fontes","CSI-0003245","Client Feedback","Product"
"CL001177","Glic Solutions","10/27/2021","Giuliana Fontes","CSI-0003247","Client Feedback","Product"
"CL004023","Goula Colombia","11/2/2022","Karoll Cabrera","CSI-0003249","Client Feedback","Product"
"CL001196","Zakini Inc","1/18/2022","Giuliana Fontes","CSI-0003257","Client Feedback","Product"
"CL002042","Picker (500 B14)","2/8/2022","Giuliana Fontes","CSI-0003260","Client Feedback","Product"
"CL000675","killb.com","10/6/2021","Giuliana Fontes","CSI-0003263","Client Feedback","Product"
"CL004223","Colsugar S.A.S","8/12/2022","Giuliana Fontes","CSI-0003266","Client Feedback","Product"
"CL004121","Xpace learning","1/16/2023","Joaquin Rocchietti","CSI-0003268","Client Feedback","Product"
"CL002213","XMS - Gold Microsoft Partner","3/17/2022","Giuliana Fontes","CSI-0003270","Client Feedback","Product"
"CL005475","apidesign.com","1/24/2025","Automated Essentials","CSI-0003271","Client Feedback","Product"
"CL005497","Broadview Communities","12/16/2022","Alejandra Arroyo","CSI-0003272","Client Feedback","Product"
"CL005524","helmcode.com","4/1/2025","Automated Essentials","CSI-0003273","Client Feedback","Product"
"CL005502","landmerchantsusa.com","3/18/2025","Giuliana Fontes","CSI-0003277","Client Feedback","Product"
"CL005490","SEEED","5/13/2022","Alejandra Arroyo","CSI-0003280","Client Feedback","Product"
"CL004986","General Logistics","3/13/2024","Lucas Arenas","CSI-0003284","Client Feedback","EOR"
"CL005494","americagroupsrl.com","1/10/2025","Automated Essentials","CSI-0003285","Client Feedback","Customer Success"
"CL005498","ecomovers.com","3/10/2025","Automated Essentials","CSI-0003286","Client Feedback","Compliance"
"CL005551","felizvita","4/25/2025","Automated Essentials","CSI-0003287","Client Feedback","Product"
"CL005545","ShipCalm","4/3/2025","Giuliana Fontes","CSI-0003289","Client Feedback","Customer Success"
"CL005532","SANTANAINS.COM","4/2/2025","Automated Essentials","CSI-0003292","Client Feedback","Customer Success"
"CL005527","Gennesaret IT&AI Corp","3/26/2025","Automated Essentials","CSI-0003293","Client Feedback","Customer Success"
"CL005148","rocktruck.com","7/9/2024","Giuliana Fontes","CSI-0003295","Client Feedback","Product"
"CL005513","Muck Consultores","6/10/2022","Giuliana Fontes","CSI-0003301","Client Feedback","Product"
"CL005489","Sun Colombia","10/2/2024","Automated Essentials","CSI-0003304","Client Feedback","Product"
"CL004721","Ay Hungry","10/30/2023","Karoll Cabrera","CSI-0003306","Client Feedback","Product"
"CL004194","Taqa Space ???? ??????","2/21/2023","Automated Essentials","CSI-0003322","Client Feedback","Product"
"CL004492","Midtown HR","7/12/2023","Giuliana Fontes","CSI-0003335","Client Feedback","Product"
"CL004939","livocompany-Lentesplus SAS","3/12/2024","Automated Essentials","CSI-0003338","Client Feedback","Product"
"CL002784","Fiado App","3/22/2022","Giuliana Fontes","CSI-0003340","Client Feedback","Product"
"CL004778","placesociale.com","12/11/2023","Giuliana Fontes","CSI-0003344","Client Feedback","Product"
"CL001761","Inbound AV","1/21/2022","Giuliana Fontes","CSI-0003346","Client Feedback","Product"
"CL003764","CLOUD UP SOLUTIONS","10/13/2022","Karoll Cabrera","CSI-0003348","Client Feedback","Pay Ins"
"CL005557","Nuclear Medicine World LLC","3/28/2025","Automated Essentials","CSI-0003350","Client Feedback","Product"
"CL002188","CrearP LLC","3/23/2022","Automated Essentials","CSI-0003354","Client Feedback","Sales"
"CL000488","Wholemeaning","10/27/2021","Automated Essentials","CSI-0003357","Client Feedback","Customer Success"
"CL003834","CognosOnline Panama","11/10/2022","Giuliana Fontes","CSI-0003360","Client Feedback","Product"
"CL003811","CognosOnLine México-","11/11/2022","Giuliana Fontes","CSI-0003362","Client Feedback","Product"
"CL004480","Servicios de Capacitacion CognosOnline SpA","8/6/2024","Giuliana Fontes","CSI-0003364","Client Feedback","Pay Ins"
"CL004937","SUMADI S.A.","3/12/2024","Giuliana Fontes","CSI-0003366","Client Feedback","Pay Ins"
"CL005236","Incluyeme.com S de RL de CV","9/11/2024","Automated Essentials","CSI-0003368","Client Feedback","Customer Success"
"CL003070","2be Named","4/28/2022","Automated Essentials","CSI-0003370","Client Feedback","Pay Ins"
"CL005205","Gualda Experience LLC","9/6/2024","Giuliana Fontes","CSI-0003372","Client Feedback","Pay Ins"
"CL004476","KEO World","10/4/2021","Joaquin Rocchietti","CSI-0003373","Client Feedback","Pay Outs"
"CL003736","Termmed","2/4/2022","Joaquin Rocchietti","CSI-0003375","Client Feedback","Product"
"CL004783","Carmenta Labs","7/15/2022","Automated Essentials","CSI-0003390","Client Feedback","Pay Ins"
"CL001463","Talently","9/13/2021","Giuliana Fontes","CSI-0003392","Client Feedback","Tech"
"CL001448","Programatico","1/27/2022","Automated Essentials","CSI-0003394","Client Feedback","Operations B2B"
"CL002550","Mosaikus - Rombus","2/18/2022","Giuliana Fontes","CSI-0003396","Client Feedback","Pay Ins"
"CL004465","Agência Papoca","10/18/2021","Giuliana Fontes","CSI-0003407","Client Feedback","Tech"
"CL001213","VermutApp","1/4/2022","Giuliana Fontes","CSI-0003450","Client Feedback","Pay Outs"
"CL005492","swineworks.com","3/1/2025","Giuliana Fontes","CSI-0003458","Client Feedback","Product"
"CL001108","TRD Retail Development Corp","4/21/2022","Joaquin Rocchietti","CSI-0003463","Client Feedback","Product"
"CL002475","SERVIAP USA LLC","11/10/2022","Jose Pinto","CSI-0003464","Client Feedback","Product"
"CL002239","Moventi","3/10/2022","Giuliana Fontes","CSI-0003485","Client Feedback","Customer Success"
"CL005547","impelsys.com","4/10/2025","Giuliana Fontes","CSI-0003486","Client Feedback","Customer Success"
"CL000016","SaludTools","10/14/2021","Giuliana Fontes","CSI-0003494","Client Feedback","Customer Success"
"CL004731","Professional Radiology PLLC","12/2/2023","Lucas Arenas","CSI-0003510","Client Feedback","EOR"
"CL005030","Inversiones Centroamericanas S.A","2/16/2024","Lucas Arenas","CSI-0003512","Client Feedback","EOR"
"CL004429","Emprende Hoy LLC","6/15/2023","Laura Del Gordo","CSI-0003514","Client Feedback","Operations B2C"
"CL005558","Diio","4/30/2025","Automated Essentials","CSI-0003518","Client Feedback","Compliance"
"CL002962","Daniel Law","4/13/2022","Giuliana Fontes","CSI-0003520","Client Feedback","Product"
"CL003334","Waste 2 Worth","7/5/2022","Automated Essentials","CSI-0003524","Client Feedback","Customer Success"
"CL004086","AB-Inbev","7/1/2022","Lucas Arenas","CSI-0003529","Client Feedback","EOR"
"CL005641","Creditop USA","1/12/2022","Automated Essentials","CSI-0003530","Client Feedback","Compliance"
"CL005592","eztravel.mx","4/22/2022","Automated Essentials","CSI-0003531","Client Feedback","Product"
"CL005548","Jenni AI","4/23/2025","Automated Essentials","CSI-0003532","Client Feedback","Sales"
"CL005567","Kamin","5/8/2025","Automated Essentials","CSI-0003533","Client Feedback","Product"
"CL004619","Centurion Restaurant Group","8/23/2022","Lucas Arenas","CSI-0003537","Client Feedback","EOR"
"CL005385","Auronix","3/31/2022","Laura Del Gordo","CSI-0003539","Client Feedback","Product"
"CL005267","Noise Panama","10/15/2024","Giuliana Fontes","CSI-0003542","Client Feedback","Product"
"CL004102","Bamboo Payment Systems","1/19/2023","Joaquin Rocchietti","CSI-0003560","Client Feedback","Product"
"CL002550","Mosaikus - Rombus","2/18/2022","Giuliana Fontes","CSI-0003566","Client Feedback","Product"
"CL001406","Quipu","12/14/2021","Giuliana Fontes","CSI-0003573","Client Feedback","Pay Ins"
"CL005591","nia.law","5/8/2025","Automated Essentials","CSI-0003575","Client Feedback","Customer Success"
"CL005146","hiades.es","7/9/2024","Lucas Arenas","CSI-0003578","Client Feedback","Product"
"CL003042","Namla","6/27/2022","Giuliana Fontes","CSI-0003582","Client Feedback","Operations B2B"
"CL004188","Gesab SA","10/15/2022","Lucas Arenas","CSI-0003584","Client Feedback","EOR"
"CL002726","OLIVER","1/28/2022","Giuliana Fontes","CSI-0003586","Client Feedback","Product"
"CL002550","Mosaikus - Rombus","2/18/2022","Giuliana Fontes","CSI-0003590","Client Feedback","Product"
"CL002550","Mosaikus - Rombus","2/18/2022","Giuliana Fontes","CSI-0003591","Client Feedback","Pay Outs"
